Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
BA3T01-R1	91.9803448915	53.0	251.0	64716.0	36.3636363636
BA3T01-R2	84.9851659559	53.0	251.0	64716.0	36.3636363636
BA3T03-R1	92.7383033657	53.0	251.0	86371.0	36.3636363636
BA3T03-R2	85.9362517512	54.0	251.0	86371.0	36.3636363636
BA3T07-R1	91.2209370597	53.0	251.0	68128.0	36.3636363636
BA3T07-R2	84.8593823391	54.0	251.0	68128.0	36.3636363636
BA3T11-R1	92.4289197727	53.0	251.0	83251.0	36.3636363636
BA3T11-R2	85.8199901503	54.0	251.0	83251.0	36.3636363636
LF3T01-R1	90.7174907555	54.0	251.0	68419.0	36.3636363636
LF3T01-R2	83.4899662374	55.0	251.0	68419.0	36.3636363636
LF3T03-R1	88.7189395884	54.0	251.0	74009.0	36.3636363636
LF3T03-R2	80.9009715035	55.0	251.0	74009.0	36.3636363636
LF3T07-R1	90.4738454147	54.0	251.0	83255.0	36.3636363636
LF3T07-R2	82.4983484475	55.0	251.0	83255.0	36.3636363636
